	Date	Time	TTF	Lat	Long		2D3D	Alt	DOP	SVs	FOM	X	Y	Temp	Bat	Status	SCap	GPS	GSM
	2014 05 06	08:59:00	59	59.601590	15.198333		3D	105	1.1	8	0	0	0	23	624	01000011	0	00000001	00000000	Init		
	2014 05 06	09:00:00	30	59.601597	15.198325		3D	104	1.1	8	0	0	0	23	624	01000010	0	00000001	00000000
	2014 05 06	09:10:00	30	59.601553	15.198318		3D	95	1.0	8	0	0	0	22	625	01000010	0	00000001	00000000
	2014 05 06	09:20:00	30	59.601500	15.198300		3D	89	1.4	7	0	0	0	22	625	01000010	0	00000001	00000000
	2014 05 06	09:29:00		Mortality										22	625	00000100	0	00000001	00000000
	2014 05 06	09:30:00	30	59.601707	15.198260		3D	101	1.4	7	0	0	0	22	625	01000010	0	00000001	00000000
	2014 05 07	05:22:00	63	59.601393	15.199058		3D	104	1.0	8	0	1	3	21	628	01000011	680	00000001	00000000	Init
	2014 05 07	05:30:00	30	59.601398	15.199032		3D	99	1.2	6	0	0	0	10	630	01000010	0	00000001	00000000
	2014 05 07	05:40:00	30	59.601393	15.199068		3D	101	1.2	6	0	0	0	5	629	01000010	0	00000001	00000000
	2014 05 07	05:50:00	30	59.601378	15.199028		3D	99	1.2	6	0	0	0	3	628	01000010	0	00000001	00000000
	2014 05 07	05:52:00		Mortality										3	628	00000100	0	00000001	00000000
	2014 05 07	06:00:00	30	59.601373	15.199027		3D	103	1.2	6	0	0	0	2	627	01000010	0	00000001	00000000
	2014 05 07	06:10:00	30	59.601360	15.199015		3D	93	2.0	5	0	0	0	2	626	01000010	0	00000001	00000000
	2014 05 07	06:20:00	40	59.601693	15.198420		3D	120	1.8	5	0	0	0	4	624	01000010	0	00000001	00000000
	2014 05 21	08:06:00	91	59.742888	17.665873		3D	42	0.9	9	0	9	15	18	624	01000011	0	00000001	00000000	Init
	2014 05 21	08:15:00	30	59.743202	17.666762		3D	43	0.9	9	0	2	1	22	630	01000010	0	00000001	00000000
	2014 05 21	08:30:00	30	59.743217	17.665837		3D	46	0.9	9	0	7	11	24	631	01000010	0	00000001	00000000
	2014 05 21	08:45:00	30	59.743128	17.665685		3D	37	0.9	9	0	5	2	23	631	01000010	0	00000001	00000000
	2014 05 21	09:00:00	30	59.743635	17.665767		3D	42	0.9	9	0	8	4	24	631	01000010	0	00000001	00000000
	2014 05 21	09:15:00	30	59.743955	17.662895		3D	30	1.0	8	0	9	0	25	631	01000010	0	00000001	00000000
	2014 05 21	09:30:00	30	59.743893	17.664285		3D	31	1.0	7	0	0	0	24	631	01000010	0	00000001	00000000
	2014 05 21	09:45:00	30	59.743955	17.665098		3D	35	1.4	6	0	4	5	27	631	01000010	0	00000001	00000000
	2014 05 21	10:00:00	30	59.743895	17.665483		3D	35	1.5	5	0	5	8	27	631	01000010	0	00000001	00000000
	2014 05 21	10:15:00	41	59.743382	17.667875		3D	42	1.7	4	0	4	4	26	630	01000010	0	00000001	00000000
	2014 05 21	10:30:00	30	59.743408	17.667092		3D	50	1.5	4	0	9	5	27	631	01000010	0	00000001	00000000
	2014 05 21	10:45:00	43	59.743265	17.666757		3D	47	3.1	4	0	4	3	26	630	01000010	0	00000001	00000000
	2014 05 21	11:00:00	44	59.743835	17.666140		3D	37	0.9	9	0	1	0	25	630	01000010	0	00000001	00000000
	2014 05 21	11:15:00	30	59.743993	17.666055		3D	37	0.8	9	0	4	4	27	631	01000010	0	00000001	00000000
	2014 05 21	11:30:00	30	59.743563	17.663898		3D	31	0.9	8	0	5	7	27	631	01000010	0	00000001	00000000
	2014 05 21	11:45:00	30	59.743410	17.664073		3D	28	0.8	8	0	5	7	26	631	01000010	0	00000001	00000000
	2014 05 21	12:00:00	30	59.743318	17.664243		3D	34	0.8	8	0	8	1	27	631	01000010	0	00000001	00000000
	2014 05 21	12:15:00	30	59.743397	17.664178		3D	27	1.1	6	0	6	8	25	631	01000010	0	00000001	00000000
	2014 05 21	12:30:00	30	59.743845	17.664232		3D	30	0.9	7	0	7	2	25	631	01000010	0	00000001	00000000
	2014 05 21	12:45:00	30	59.743822	17.664413		3D	26	1.2	5	0	0	0	24	631	01000010	0	00000001	00000000
	2014 05 21	13:00:00	30	59.743905	17.664465		3D	20	1.3	4	0	0	1	24	631	01000010	0	00000001	00000000
	2014 05 21	13:15:00	32	59.743878	17.664310		3D	23	1.3	4	0	0	0	25	630	01000010	0	00000001	00000000
	2014 05 21	13:30:00	74	59.744508	17.664258		3D	217	2.1	4	0	18	24	27	628	01000010	0	00000001	00000000
	2014 05 21	13:45:00	44	59.743753	17.664478		3D	26	1.5	5	0	9	15	27	629	01000010	0	00000001	00000000
	2014 05 21	14:00:00	30	59.743430	17.663828		3D	36	1.6	5	0	6	8	29	630	01000010	0	00000001	00000000
	2014 05 21	14:15:00	30	59.743133	17.664382		3D	30	1.7	5	0	3	3	30	630	01000010	0	00000001	00000000
	2014 05 21	14:30:00	30	59.743192	17.667243		3D	46	1.9	5	0	1	2	29	630	01000010	0	00000001	00000000
	2014 05 21	14:45:00	30	59.743492	17.668127		3D	44	2.2	5	0	6	6	28	630	01000010	0	00000001	00000000
	2014 05 21	15:00:00	30	59.743753	17.668400		3D	51	2.9	4	0	9	9	27	630	01000010	0	00000001	00000000
	2014 05 21	15:15:00	30	59.744253	17.666862		3D	47	3.9	4	0	11	11	26	630	01000010	0	00000001	00000000
